time,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r
1.3900000000000001,6.973023023695585,13.94604604739117,7.248004360133623,1.6525784641355388,3.3051569282710775,1.0955646626052946,0.0,0.0,0.0,0.0,0.0,0.0
1.4000000000000001,6.9888902947346025,13.977780589469205,7.2581760489853755,1.586727103901794,3.173454207803588,1.0171688851752327,0.0,0.0,0.0,0.0,0.0,0.0
1.41,7.004101670489547,14.008203340979094,7.267568568133915,1.521137575494411,3.042275150988822,0.9392519148539192,0.0,0.0,0.0,0.0,0.0,0.0
1.42,7.018659907069319,14.037319814138637,7.2761868915205286,1.455823657977228,2.911647315954456,0.8618323386613624,0.0,0.0,0.0,0.0,0.0,0.0
1.43,7.032567896306526,14.065135792613052,7.28403617560582,1.390798923720723,2.781597847441446,0.7849284085291328,0.0,0.0,0.0,0.0,0.0,0.0
1.44,7.045828663677285,14.09165732735457,7.291121755997577,1.3260767370758524,2.6521534741517048,0.7085580391756667,0.0,0.0,0.0,0.0,0.0,0.0
1.45,7.058445366208416,14.116890732416833,7.297449144058617,1.2616702531131616,2.523340506226323,0.6327388061039825,0.0,0.0,0.0,0.0,0.0,0.0
1.46,7.070421290372685,14.14084258074537,7.303024023495829,1.1975924164268197,2.3951848328536394,0.557487943721184,0.0,0.0,0.0,0.0,0.0,0.0
1.47,7.081759849972717,14.163519699945434,7.30785224693162,1.1338559600032343,2.2677119200064686,0.48282234357909704,0.0,0.0,0.0,0.0,0.0,0.0
1.48,7.092464584014256,14.184929168028512,7.3119398324589735,1.070473404153884,2.140946808307768,0.4087585527353579,0.0,0.0,0.0,0.0,0.0,0.0
1.49,7.102539154569376,14.205078309138752,7.315292960181316,1.0074570555119884,2.0149141110239768,0.3353127722342348,0.0,0.0,0.0,0.0,0.0,0.0
1.5,7.111987344630302,14.223974689260604,7.317917968738381,0.944819006092634,1.889638012185268,0.26250085570645265,0.0,0.0,0.0,0.0,0.0,0.0
1.51,7.120813055954462,14.241626111908923,7.319821351819253,0.8825711324159504,1.7651422648319008,0.19033830808723673,0.0,0.0,0.0,0.0,0.0,0.0
1.52,7.129020306901391,14.258040613802782,7.321009754663771,0.8207250946929294,1.6414501893858588,0.11884028445178679,0.0,0.0,0.0,0.0,0.0,0.0
1.53,7.1366132302621255,14.273226460524251,7.321489970553444,0.7592923360734651,1.5185846721469303,0.04802158896735596,0.0,0.0,0.0,0.0,0.0,0.0
1.54,7.143596071081687,14.287192142163374,7.3212689372930555,0.6982840819561776,1.3965681639123553,-0.022103326038921095,0.0,0.0,0.0,0.0,0.0,0.0
1.55,7.149973184475282,14.299946368950565,7.320353733684082,0.6377113393595741,1.2754226787191483,-0.09152036089732385,0.0,0.0,0.0,0.0,0.0,0.0
1.56,7.155749033438823,14.311498066877647,7.318751575991094,0.5775848963540966,1.1551697927081932,-0.1602157692988731,0.0,0.0,0.0,0.0,0.0,0.0
1.57,7.1609281866543695,14.321856373308739,7.316469814402238,0.5179153215545849,1.0358306431091697,-0.22817615888561738,0.0,0.0,0.0,0.0,0.0,0.0
1.58,7.1655153162910965,14.331030632582193,7.313515929484949,0.45871296367267955,0.9174259273453591,-0.29538849172882853,0.0,0.0,0.0,0.0,0.0,0.0
1.59,7.169515195802383,14.339030391604766,7.309897528637988,0.39998795112867513,0.7999759022573503,-0.36184008469608847,0.0,0.0,0.0,0.0,0.0,0.0
1.6,7.172932697719606,14.345865395439212,7.3056223425409055,0.34175019172232923,0.6835003834446585,-0.42751860970826683,0.0,0.0,0.0,0.0,0.0,0.0
1.61,7.175772791443227,14.351545582886454,7.3006982216020315,0.284009372362116,0.568018744724232,-0.4924120938874116,0.0,0.0,0.0,0.0,0.0,0.0
1.62,7.178040541031751,14.356081082063502,7.2951331324060655,0.2267749588524145,0.453549917704829,-0.5565089195965985,0.0,0.0,0.0,0.0,0.0,0.0
1.6300000000000001,7.179741102989132,14.359482205978264,7.2889351541623375,0.17005619573809633,0.34011239147619265,-0.6197978243728145,0.0,0.0,0.0,0.0,0.0,0.0
1.6400000000000001,7.1808797240511915,14.361759448102383,7.282112475154798,0.11386210620598736,0.2277242124119747,-0.6822679007539566,0.0,0.0,0.0,0.0,0.0,0.0
1.6500000000000001,7.181461738971618,14.362923477943236,7.2746733891947875,0.05820149204264793,0.11640298408529585,-0.743908596001061,0.0,0.0,0.0,0.0,0.0,0.0
1.6600000000000001,7.181492568308097,14.362985136616194,7.266626292077619,0.003082933647931177,0.006165867295862354,-0.8047097117168942,0.0,0.0,0.0,0.0,0.0,0.0
1.67,7.180977716209134,14.361955432418268,7.2579796780439985,-0.051485209896250494,-0.10297041979250099,-0.8646614033620539,0.0,0.0,0.0,0.0,0.0,0.0
1.68,7.179922768202109,14.359845536404219,7.248742136247301,-0.105494800702516,-0.210989601405032,-0.9237541796697537,0.0,0.0,0.0,0.0,0.0,0.0
1.69,7.178333388983104,14.356666777966208,7.238922347227696,-0.15893792190054395,-0.3178758438010879,-0.9819789019604749,0.0,0.0,0.0,0.0,0.0,0.0
1.7,7.176215320209042,14.352430640418085,7.228529079394119,-0.21180687740611595,-0.4236137548122319,-1.0393267833577011,0.0,0.0,0.0,0.0,0.0,0.0
1.71,7.1735743782926695,14.347148756585339,7.21757118551506,-0.2640941916372806,-0.5281883832745612,-1.0957893879059475,0.0,0.0,0.0,0.0,0.0,0.0
1.72,7.170416452200887,14.340832904401774,7.206057599219136,-0.3157926091782245,-0.631585218356449,-1.1513586295923401,0.0,0.0,0.0,0.0,0.0,0.0
1.73,7.166747501256972,14.333495002513944,7.193997331506406,-0.366895094391464,-0.733790188782928,-1.2060267712729906,0.0,0.0,0.0,0.0,0.0,0.0
1.74,7.162573552947182,14.325147105894365,7.181399467271351,-0.41739483097897334,-0.8347896619579467,-1.2597864235054526,0.0,0.0,0.0,0.0,0.0,0.0
